Vendor,البائع
Product Rating,تقييم المنتج,module,Magento_Review,,,,
Status,الحاله,module,Magento_Review,,,,
Visibility,الظهور,module,Magento_Review,,,,
Nickname,اللقب,module,Magento_Review,,,,
Summary of Review,ملخص المراجعة,module,Magento_Review,,,,
Review,المراجعة,module,Magento_Review,,,,
Previous,السابق,module,Magento_Review,,,,
Save and Previous,حفظ والسابق,module,Magento_Review,,,,
Save and Next,حفظ ثم التالي,module,Magento_Review,,,,
Next,التالي,module,Magento_Review,,,,
Delete Review,حذف مراجعة,module,Magento_Review,,,,
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟,module,Magento_Review,,,,
Edit Review '%1',تعديل التعليق '%1',module,Magento_Review,,,,
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>",module,Magento_Review,,,,
Administrator,المدير,module,Magento_Review,,,,
Guest,زائر,module,Magento_Review,,,,
Author,المؤلف,module,Magento_Review,,,,
Summary Rating,تقييم الملخص,module,Magento_Review,,,,
Detailed Rating,التقييم المفصل,module,Magento_Review,,,,
ID,التعريف,module,Magento_Review,,,,
Created,إنشاء,module,Magento_Review,,,,
Title,العنوان,module,Magento_Review,,,,
Type,النوع,module,Magento_Review,,,,
SKU,رمز المنتج,module,Magento_Review,,,,
Action,إجراء,module,Magento_Review,,,,
Edit,تعديل,module,Magento_Review,,,,
Delete,احذف,module,Magento_Review,,,,
Are you sure?,هل أنت متأكد؟,module,Magento_Review,,,,
Update Status,تحديث الحالة,module,Magento_Review,,,,
Customer,زبون,module,Magento_Review,,,,
Pending Reviews of Customer `%1`,المراجعات المعلقة للعميل `%1`,module,Magento_Review,,,,
Pending Reviews,مراجعة تنتظر المراجعة,module,Magento_Review,,,,
All Reviews of Customer `%1`,جميع مراجعات العميل `%1`,module,Magento_Review,,,,
All Reviews of Product `%1`,جميع مراجعات المنتج `%1`,module,Magento_Review,,,,
All Reviews,كل التقييمات والآراء,module,Magento_Review,,,,
Name,اسم,module,Magento_Review,,,,
Product Store Name,اسم متجر المنتج,module,Magento_Review,,,,
Price,السعر,module,Magento_Review,,,,
Quantity,الكمية,module,Magento_Review,,,,
Websites,الموقع,module,Magento_Review,,,,
Manage Ratings,ادارة التقديرات,module,Magento_Review,,,,
Add New Rating,اضف تقييما جديدا,module,Magento_Review,,,,
Save Rating,احفظ التقييم,module,Magento_Review,,,,
Delete Rating,احذف تقييما,module,Magento_Review,,,,
Edit Rating #%1,تعديل التقييم #%1,module,Magento_Review,,,,
New Rating,تقيما جديدا,module,Magento_Review,,,,
Rating Title,عنوان التقييم,module,Magento_Review,,,,
Default Value,القيمة الاعتيادية,module,Magento_Review,,,,
Rating Visibility,تصنيف الرؤية,module,Magento_Review,,,,
Is Active,نشط,module,Magento_Review,,,,
Sort Order,الترتيب,module,Magento_Review,,,,
Rating Information,معلومات التقييم,module,Magento_Review,,,,
Product Reviews,مراجعات المنتج,module,Magento_Review,,,,
Pending product review(s),مراجعات تنتظر المراجعة,module,Magento_Review,,,,
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","المنتج: <a href=""%1"" target=""_blank"">%2</a> <br/>",module,Magento_Review,,,,
Summary of review: %1 <br/>,ملخص للمراجعة: %1 <br/>,module,Magento_Review,,,,
Review: %1 <br/>,استعراض: %1 <br/>,module,Magento_Review,,,,
Store: %1 <br/>,المتجر: %1 <br/>,module,Magento_Review,,,,
"Click <a href=""%1"">here</a> to see the review.","انقر <a href=""%1"">هنا</a> لعرض المراجعة.",module,Magento_Review,,,,
"Product: ""%1"" reviewed by: %2","المنتج: ""%1"" مراجع بواسطة: %2",module,Magento_Review,,,,
Pending Reviews RSS,RSS التقييمات والآراء المعلقة,module,Magento_Review,,,,
Reviews %1,المراجعات %1,module,Magento_Review,,,,
Reviews,مراجعات,module,Magento_Review,,,,
The review has been deleted.,تم حذف المراجعة.,module,Magento_Review,,,,
Something went wrong  deleting this review.,حدث خطأ أثناء حذف هذه المراجعة.,module,Magento_Review,,,,
You don’t have permission to perform this operation. The selected review must be in Pending Status.,ليس لديك صلاحية لتنفيذ هذه العملية. يجب أن تكون المراجعة المحددة في حالة معلقة.,module,Magento_Review,,,,
Customer Reviews,مراجعات العميل,module,Magento_Review,,,,
Edit Review,تعديل المراجعة,module,Magento_Review,,,,
We can't retrieve the product ID.,لا يمكننا استرداد معرف المنتج.,module,Magento_Review,,,,
Please select review(s).,الرجاء تحديد مراجعة (مراجعات).,module,Magento_Review,,,,
A total of %1 record(s) have been deleted.,عدد %1 سجلات تم حذفها.,module,Magento_Review,,,,
Something went wrong while deleting these records.,حدث خطأ أثناء حذف هذه السجلات.,module,Magento_Review,,,,
You don’t have permission to perform this operation. Selected reviews must be in Pending Status only.,ليس لديك صلاحية لتنفيذ هذه العملية. يجب أن تكون المراجعات المحددة في الحالة المعلقة فقط.,module,Magento_Review,,,,
A total of %1 record(s) have been updated.,عدد %1 سجلات تم تحديثها.,module,Magento_Review,,,,
Something went wrong while updating these review(s).,حدث خطأ أثناء تحديث هذه المراجعة (المراجعات).,module,Magento_Review,,,,
You saved the review.,تم حفظ المراجعة.,module,Magento_Review,,,,
Something went wrong while saving this review.,حدث خطأ أثناء حفظ هذه المراجعة.,module,Magento_Review,,,,
The review was removed by another user or does not exist.,تمت إزالة المراجعة بواسطة مستخدم آخر أو أنها غير موجودة.,module,Magento_Review,,,,
You deleted the rating.,تم حذف التقييم.,module,Magento_Review,,,,
Ratings,التقييمات,module,Magento_Review,,,,
You saved the rating.,تم حفظ التقييم.,module,Magento_Review,,,,
My Product Reviews,مراجعاتي,module,Magento_Review,,,,
You submitted your review for moderation.,تم إرسال مراجعتك، سيتم نشرها قريبا.,module,Magento_Review,,,,
We can't post your review right now.,لا يمكن أن نقوم بنشر تقيبمك الخاص بك الآن.,module,Magento_Review,,,,
The storage key wasn't set. Add the storage key and try again.,لم يتم تعيين مفتاح التخزين. أضف مفتاح التخزين وحاول مجدداً.,module,Magento_Review,,,,
Approved,وافق,module,Magento_Review,,,,
Pending,في إنتظار المُراجعة,module,Magento_Review,,,,
Not Approved,غير موافق عليه,module,Magento_Review,,,,
Please enter a review summary.,الرجاء إدخال ملخص المراجعة.,module,Magento_Review,,,,
Please enter a nickname.,الرجاء إدخال اسم مستعار.,module,Magento_Review,,,,
Please enter a review.,الرجاء إدخال المراجعة.,module,Magento_Review,,,,
Rating isn't Available,التقييم غير متاح,module,Magento_Review,,,,
"Please specify a rating title for a store, or we'll just use the default value.",الرجاء تحديد عنوان ترتيب المتجر، أو سنقوم فقط باستخدام القيمة الافتراضية.,module,Magento_Review,,,,
Assigned Options,الخيارات المخصصة,module,Magento_Review,,,,
Option Title:,عنوان الاختيار:,module,Magento_Review,,,,
Product Name,اسم المنتج,module,Magento_Review,,,,
Rating,التقييم,module,Magento_Review,,,,
Actions,اعمال,module,Magento_Review,,,,
See Details,عرض التفاصيل,module,Magento_Review,,,,
You have submitted no reviews.,لم تقم بإضافة اي مراجعات.,module,Magento_Review,,,,
Back,رجوع,module,Magento_Review,,,,
My Recent Reviews,مراجعاتي الاخيرة,module,Magento_Review,,,,
View All,عرض الكل,module,Magento_Review,,,,
Average Customer Rating:,متوسط تقييم العميل:,module,Magento_Review,,,,
Your Review,مراجعتك,module,Magento_Review,,,,
Submitted on %1,تم الإرسال بتاريخ %1,module,Magento_Review,,,,
Back to My Reviews,العودة إلى تقييماتي,module,Magento_Review,,,,
Ratings Review Summary,ملخص مراجعة التقييمات,module,Magento_Review,,,,
Be the first to review this product,كن أول من يراجع هذا المنتج,module,Magento_Review,,,,
Write Your Own Review,كتابة مراجعتك,module,Magento_Review,,,,
* Required Fields,* حقول مطلوبة,module,Magento_Review,,,,
You're reviewing:,انت تقيم:,module,Magento_Review,,,,
Your Rating,تقييمك,module,Magento_Review,,,,
%1 %2,%1 %2,module,Magento_Review,,,,
Summary,خلاصة,module,Magento_Review,,,,
Submit Review,إرسال مراجعة,module,Magento_Review,,,,
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","فقط الاعضاء المسجلين يمكنهم كتابة مراجعات. الرجاء <a href=""%1"">تسجيل الدخول</a> أو <a href=""%2""> إنشاء حساب</a>",module,Magento_Review,,,,
Add Your Review,إضافة تقييمك,module,Magento_Review,,,,
%1 Review(s),%1 مراجعة (مراجعات),module,Magento_Review,,,,
Review by,استعراض عن طريق,module,Magento_Review,,,,
Posted on,نُشر بتاريخ,module,Magento_Review,,,,
Back to Main Product Info,العودة إلى بيانات المنتج الرئيسية,module,Magento_Review,,,,
Average Customer Rating,متوسط تقييم العميل,module,Magento_Review,,,,
Product Rating:,تقييم المنتج:,module,Magento_Review,,,,
Product Review (submitted on %1):,مراجعة المنتج (مُرسَلة بتاريخ %1):,module,Magento_Review,,,,
Back to Product Reviews,العودة لمراجعات المنتج,module,Magento_Review,,,,
Please select one of each of the ratings above.,الرجاء تحديد أحد خيارات كل تقييم من التقييمات أعلاه.,module,Magento_Review,,,,
By Customers,حسب العملاء,module,Magento_Review,,,,
By Products,حسب المنتجات,module,Magento_Review,,,,
Enabled,مُفعَّل,module,Magento_Review,,,,
Allow Guests to Write Reviews,السماح للزوار بكتابة المراجعات,module,Magento_Review,,,,
Active,فعال,module,Magento_Review,,,,
Inactive,خاملة,module,Magento_Review,,,,
ID,التعريف,module,Magento_ReviewStaging,,,,
Created,إنشاء,module,Magento_ReviewStaging,,,,
Status,الحاله,module,Magento_ReviewStaging,,,,
Title,العنوان,module,Magento_ReviewStaging,,,,
Nickname,اللقب,module,Magento_ReviewStaging,,,,
Review,المراجعة,module,Magento_ReviewStaging,,,,
Visibility,الظهور,module,Magento_ReviewStaging,,,,
Type,النوع,module,Magento_ReviewStaging,,,,
Product,المنتج,module,Magento_ReviewStaging,,,,
SKU,رمز المنتج,module,Magento_ReviewStaging,,,,
Reward Points,نقاط المكافأة,module,Magento_Reward,,,,
Reward Points History,نقاط المكافأة السابقة,module,Magento_Reward,,,,
Expired reward,مكافأة منتهية الصلاحية,module,Magento_Reward,,,,
Unlimited,غير محدود,module,Magento_Reward,,,,
No Data,لا توجد بيانات,module,Magento_Reward,,,,
Website,الموقع,module,Magento_Reward,,,,
Balance,الرصيد,module,Magento_Reward,,,,
Currency Amount,عملة المبلغ,module,Magento_Reward,,,,
Reward Points Threshold,حد نقاط المكافأة,module,Magento_Reward,,,,
Reward Points Cap,سقف نقاط المكافأة,module,Magento_Reward,,,,
Are you sure you want to delete these points?,هل أنت متأكد من رغبتك في حذف هذه النقاط؟,module,Magento_Reward,,,,
Delete Orphan Points,حذف النقاط المعزولة,module,Magento_Reward,,,,
Update Reward Points Balance,تحديث رصيد نقاط المكافأة,module,Magento_Reward,,,,
Store,متجر,module,Magento_Reward,,,,
Update Points,تحديث النقاط,module,Magento_Reward,,,,
Enter a negative number to subtract from the balance.,أدخل رقماً سالباً للخصم من الرصيد.,module,Magento_Reward,,,,
Comment,تعليق,module,Magento_Reward,,,,
Reward Points Notifications,اشعارات نقاط المكافأة,module,Magento_Reward,,,,
Subscribe for Balance Updates,الاشتراك في تحديثات الرصيد,module,Magento_Reward,,,,
Subscribe for Points Expiration Notifications,الاشتراك في إشعارات انتهاء صلاحية النقا,module,Magento_Reward,,,,
Reward Exchange Rates,أسعار صرف نقاط المكافآت,module,Magento_Reward,,,,
Add New Rate,إضافة معدل الجديد,module,Magento_Reward,,,,
Edit Reward Exchange Rate,تعديل سعر صرف نقاط المكافآت,module,Magento_Reward,,,,
New Reward Exchange Rate,سعر صرف نقاط مكافآت جديد,module,Magento_Reward,,,,
Reward Exchange Rate Information,معلومات سعر صرف نقاط المكافآت,module,Magento_Reward,,,,
Customer Group,مجموعات العملاء,module,Magento_Reward,,,,
Direction,الاتجاه,module,Magento_Reward,,,,
Rate,تقييم,module,Magento_Reward,,,,
Use your reward points,استخدم نقاط المكافآت الخاصة بك، %1 متاح.,Use your reward points, %1 are available.,module,Magento_Reward,,
Learn more,إعرف المزيد,module,Magento_Reward,,,,
This applies only to registered users and may vary when a user is logged in.,ينطبق فقط على المستخدمين المسجلين وقد يختلف عند تسجيل الدخول.,module,Magento_Reward,,,,
You removed the orphan points.,تم إزالة النقاط اليتيمة.,module,Magento_Reward,,,,
Customers,العملاء,module,Magento_Reward,,,,
Manage Reward Exchange Rates,إدارة أسعار صرف نقاط المكافآت,module,Magento_Reward,,,,
You deleted the rate.,تم حذف السعر.,module,Magento_Reward,,,,
You saved the rate.,تم حفظ السعر.,module,Magento_Reward,,,,
We can't save this rate right now.,تعذر حفظ هذا السعر حاليًا.,module,Magento_Reward,,,,
Please enter all rate information.,يرجى إدخال جميع معلومات السعر.,module,Magento_Reward,,,,
Please enter a positive integer number in the left rate field.,يرجى إدخال عدد صحيح موجب في حقل السعر الأيسر.,module,Magento_Reward,,,,
Please enter a positive number in the right-side rate field.,يرجى إدخال رقم موجب في حقل السعر الأيمن.,module,Magento_Reward,,,,
Please enter a positive integer number in the right-side rate field.,يرجى إدخال عدد صحيح موجب في حقل السعر الأيمن.,module,Magento_Reward,,,,
Please enter a positive number in the left-side rate field.,يرجى إدخال رقم موجب في حقل السعر الأيسر.,module,Magento_Reward,,,,
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.",عذراً، يوجد بالفعل سعر لنفس الموقع ومجموعة العملاء والاتجاه أو السعر الشامل.,module,Magento_Reward,,,,
Page not found.,لم يتم العثور على الصفحة.,module,Magento_Reward,,,,
You saved the settings.,تم حفظ الإعدادات.,module,Magento_Reward,,,,
You unsubscribed.,قمت بإلغاء الاشتراك.,module,Magento_Reward,,,,
You can't unsubscribed right now.,لا يمكن إلغاء الاشتراك في الوقت الحالي.,module,Magento_Reward,,,,
%1 Reward points (%2),%1 نقاط مكافأة (%2),module,Magento_Reward,,,,
%1 Reward points,%1 نقاط مكافأة,module,Magento_Reward,,,,
Updated by moderator,تم التحديث من قبل المشرف,module,Magento_Reward,,,,
Refunded from order #%1,مُستردة من الطلب رقم #%1,module,Magento_Reward,,,,
Points voided at order #%1 refund.,تم إلغاء النقاط عند استرداد الطلب رقم #%1.,module,Magento_Reward,,,,
The invitation to %1 converted into a customer.,تم تحويل الدعوة إلى %1 إلى عميل.,module,Magento_Reward,,,,
The invitation to %1 converted into an order.,تم تحويل الدعوة إلى %1 إلى طلب.,module,Magento_Reward,,,,
Signed up for newsletter with email %1,اشتركت في النشرة البريدية ببريد %1,module,Magento_Reward,,,,
Redeemed for order #%1,مُستبدلة للطلب رقم #%1,module,Magento_Reward,,,,
Earned points for order #%1,النقاط المكتسبة عن الطلب رقم #%1,module,Magento_Reward,,,,
Reverted from incomplete order #%1,مُستردة من الطلب غير المكتمل رقم #%1,module,Magento_Reward,,,,
Registered as customer,مسجَّل كعميل,module,Magento_Reward,,,,
For submitting a product review,مقابل تقديم مراجعة منتج,module,Magento_Reward,,,,
Earned promotion extra points from order #%1,نقاط إضافية مكتسبة من العرض الترويجي عن الطلب رقم #%1,module,Magento_Reward,,,,
%1 store reward points available (%2),%1 نقطة مكافأة متاحة في المتجر (%2),module,Magento_Reward,,,,
%1 store reward points available,%1 نقطة مكافأة متاحة في المتجر,module,Magento_Reward,,,,
Sign in now and earn %1 for this order.,سجّل الدخول الآن واكسب %1 على هذا الطلب.,module,Magento_Reward,,,,
You can't use more store credit than the order amount.,لا يمكن استخدام رصيد المتجر بما يتجاوز قيمة الطلب.,module,Magento_Reward,,,,
%1 was deducted because of refund.,تم خصم %1 بسبب الاسترداد.,module,Magento_Reward,,,,
The action ID you enter must be a number.,يجب أن يكون معرّف الإجراء الذي تدخله رقماً.,module,Magento_Reward,,,,
You don't have enough reward points to pay for this purchase.,لا تمتلك نقاط مكافأة كافية للدفع مقابل هذا الشراء.,module,Magento_Reward,,,,
Points to Currency,نقاط إلى عملة,module,Magento_Reward,,,,
Currency to Points,عملة إلى نقاط,module,Magento_Reward,,,,
All Customer Groups,جميع مجموعات العملاء,module,Magento_Reward,,,,
Static,ساكنة,module,Magento_Reward,,,,
Dynamic,ديناميكي,module,Magento_Reward,,,,
Each,لكل,module,Magento_Reward,,,,
First,أول,module,Magento_Reward,,,,
All Websites,جميع المواقع,module,Magento_Reward,,,,
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","قيمة ""الحد الأدنى لرصيد نقاط المكافأة"" غير صالحة. يجب أن يكون الرصيد رقماً موجباً أو يُترك فارغاً. يرجى التحقق والمحاولة مرة أخرى.",module,Magento_Reward,,,,
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","قيمة ""حد رصيد نقاط المكافأة"" غير صالحة. يجب أن يكون الرصيد رقماً موجباً أو يُترك فارغاً. يرجى التحقق والمحاولة مرة أخرى.",module,Magento_Reward,,,,
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","قيمة ""الحد الأدنى لرصيد نقاط المكافأة"" غير صالحة. يجب أن يكون الرصيد أقل من أو يساوي ""حد رصيد نقاط المكافأة"".",module,Magento_Reward,,,,
Customer earned promotion extra %1.,العميل حصل على نقاط ترويج إضافية %1.,module,Magento_Reward,,,,
The customer earned %1 for this order.,حصل العميل على %1 لهذا الطلب.,module,Magento_Reward,,,,
Reward points should be a valid integer number.,يجب أن تكون نقاط المكافآت رقمًا صحيحًا صالحًا.,module,Magento_Reward,,,,
Reward Points Balance,رصيد نقاط المكافآت,module,Magento_Reward,,,,
upper boundary,الحد الأعلى,module,Magento_Reward,,,,
Refund Reward Points,استرداد نقاط المكافآت,module,Magento_Reward,,,,
Reward Points refunded to customer,تم استرداد نقاط المكافآت للعميل,module,Magento_Reward,,,,
Remove,ازالة,module,Magento_Reward,,,,
Back,رجوع,module,Magento_Reward,,,,
Balance History,سجل الرصيد,module,Magento_Reward,,,,
Amount,الكمية,module,Magento_Reward,,,,
Points,النقاط,module,Magento_Reward,,,,
Reason,السبب,module,Magento_Reward,,,,
Date,التاريخ,module,Magento_Reward,,,,
Expires on %1,تنتهي في %1,module,Magento_Reward,,,,
There is no balance history.,لا يوجد سجل رصيد.,module,Magento_Reward,,,,
Reward points balance Information,معلومات رصيد نقاط المكافآت,module,Magento_Reward,,,,
Your balance is %1.,رصيدك هو %1.,module,Magento_Reward,,,,
Current exchange rates:,أسعار الصرف الحالية:,module,Magento_Reward,,,,
%1 = %2,%1 = %2,module,Magento_Reward,,,,
%1 spent = %2 earned,%1 مُنفق = %2 مُكتسب,module,Magento_Reward,,,,
None,لا شئ,module,Magento_Reward,,,,
Balance limit is %1.,حد الرصيد هو %1.,module,Magento_Reward,,,,
Maximum balance is reached,تم الوصول إلى الحد الأقصى للرصيد,module,Magento_Reward,,,,
Minimum Balance in order to redeem: %1.,الحد الأدنى للرصيد للاسترداد: %1.,module,Magento_Reward,,,,
You need a higher balance to use your rewards points.,تحتاج إلى رصيد أعلى لاستخدام نقاط مكافآتك.,module,Magento_Reward,,,,
Each earned reward points award expires in %1 days.,تنتهي صلاحية كل نقاط مكافآت مُكتسبة خلال %1 يوم.,module,Magento_Reward,,,,
Refer to reward points history to see when a specific record expires.,راجع سجل نقاط المكافآت لمعرفة متى ينتهي سجل محدد.,module,Magento_Reward,,,,
Email Notification Settings,إعدادات إشعارات البريد الإلكتروني,module,Magento_Reward,,,,
Save Subscription Settings,حفظ إعدادات الاشتراك,module,Magento_Reward,,,,
Reward Points Balance Updated at %store_name,تم تحديث رصيد نقاط المكافأة عند %store_name,module,Magento_Reward,,,,
"%name,",%name،,module,Magento_Reward,,,,
You have %points_balance points that may be used in our store:,لديك %points_balance نقطة يمكنك استخدامهم في متجرنا:,module,Magento_Reward,,,,
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">إلغاء الاشتراك</a> من هذه الإشعارات.",module,Magento_Reward,,,,
Reward Points Expiry Warning at %store_name,تنبيه بانتهاء صلاحية نقاط المكافأة عند %store_name,module,Magento_Reward,,,,
There are %remaining_days day(s) remaining to use %points_expiring of your reward points.,يتبقى %remaining_days يوم(أيام) لاستخدام %points_expiring من نقاط مكافآتك.,module,Magento_Reward,,,,
After %remaining_days day(s) these points will expire.,بعد %remaining_days يوم(أيام) ستنتهي صلاحية هذه النقاط.,module,Magento_Reward,,,,
You have a total of %points_balance points that may be used in our store:,لديك %points_balance نقطة يمكنك استخدامهم في متجرنا:,module,Magento_Reward,,,,
Reward points,نقاط المكافآت,module,Magento_Reward,,,,
Use reward points,استخدام نقاط المكافآت,module,Magento_Reward,,,,
Your reward point was successfully applied,تم تطبيق نقاط مكافآتك بنجاح,module,Magento_Reward,,,,
Manage Reward Points Balances,إدارة أرصدة نقاط المكافآت,module,Magento_Reward,,,,
Can Spend Reward Points,يمكن إنفاق نقاط المكافآت,module,Magento_Reward,,,,
Enable Reward Points Functionality,تفعيل وظيفة نقاط المكافآت,module,Magento_Reward,,,,
Enable Reward Points Functionality on Storefront,تفعيل وظيفة نقاط المكافآت في واجهة المتجر,module,Magento_Reward,,,,
Customers May See Reward Points History,يمكن للعملاء الاطلاع على سجل نقاط المكافآت,module,Magento_Reward,,,,
Rewards Points Balance Redemption Threshold,حد استرداد رصيد نقاط المكافآت,module,Magento_Reward,,,,
An empty value disables this limitation.,القيمة الفارغة تعطّل هذا القيد.,module,Magento_Reward,,,,
Cap Reward Points Balance At,تحديد سقف رصيد نقاط المكافآت عند,module,Magento_Reward,,,,
Reward Points Expire in (days),تنتهي صلاحية نقاط المكافآت خلال (أيام),module,Magento_Reward,,,,
Reward Points Expiry Calculation,طريقة احتساب انتهاء صلاحية نقاط المكافآت,module,Magento_Reward,,,,
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","يحدد خيار ""ثابت"" تاريخ انتهاء الصلاحية بدقة عند زيادة الرصيد. أما خيار ""ديناميكي"" فلا يحدد تاريخ انتهاء صلاحية ثابتاً، بل يحتسبه عند التحقق من صلاحية الرصيد.",module,Magento_Reward,,,,
Refund Reward Points Automatically,استرداد نقاط المكافآت تلقائياً عند الإرجاع,module,Magento_Reward,,,,
Deduct Reward Points from Refund Amount Automatically,خصم نقاط المكافآت من مبلغ الاسترداد تلقائياً,module,Magento_Reward,,,,
Landing Page,الصفحة المقصودة,module,Magento_Reward,,,,
Actions for Acquiring Reward Points by Customers,الإجراءات الخاصة باكتساب العملاء لنقاط المكافآت,module,Magento_Reward,,,,
Purchase,الشراء,module,Magento_Reward,,,,
Added for spent money according to reward exchange rates.,تُضاف بناءً على المبلغ المنفق وفق معدلات صرف المكافآت.,module,Magento_Reward,,,,
Registration,التسجيل,module,Magento_Reward,,,,
Newsletter Signup,الاشتراك في النشرة الإخبارية,module,Magento_Reward,,,,
Only for customers who subscribe for the first time.,للعملاء المشتركين لأول مرة فقط.,module,Magento_Reward,,,,
Converting Invitation to Customer,تحويل الدعوة إلى حساب عميل,module,Magento_Reward,,,,
Invitation to Customer Conversions Quantity Limit,حد عدد تحويلات الدعوة إلى حساب عميل,module,Magento_Reward,,,,
Converting Invitation to Order,تحويل الدعوة إلى طلب,module,Magento_Reward,,,,
Invitation to Order Conversions Quantity Limit,حد عدد تحويلات الدعوة إلى طلب,module,Magento_Reward,,,,
Invitation Conversion to Order Reward,مكافأة تحويل الدعوة إلى طلب,module,Magento_Reward,,,,
Review Submission,تقديم مراجعة,module,Magento_Reward,,,,
After approval by administrator.,بعد موافقة المسؤول.,module,Magento_Reward,,,,
Rewarded Reviews Submission Quantity Limit,حد عدد المراجعات المكافأ عليها,module,Magento_Reward,,,,
Email Sender,مرسل البريد الإلكتروني,module,Magento_Reward,,,,
Subscribe Customers by Default,اشتراك العملاء افتراضياً,module,Magento_Reward,,,,
Balance Update Email,بريد إلكتروني لتحديث الرصيد,module,Magento_Reward,,,,
Reward Points Expiry Warning Email,بريد إلكتروني لتحذير انتهاء صلاحية نقاط المكافآت,module,Magento_Reward,,,,
Expiry Warning Before (days),إرسال تحذير انتهاء الصلاحية قبل (أيام),module,Magento_Reward,,,,
Entering no value or a value greater than the expiration lifetime disables the warning notification.,عدم إدخال قيمة أو إدخال قيمة أكبر من مدة الصلاحية يعطّل إشعار التحذير.,module,Magento_Reward,,,,
Reward Points Rates,معدلات نقاط المكافآت,module,Magento_Reward,,,,
Amount Balance,رصيد المبلغ,module,Magento_Reward,,,,
Created,إنشاء,module,Magento_Reward,,,,
Expires,تاريخ الانتهاء,module,Magento_Reward,,,,
ID,التعريف,module,Magento_Reward,,,,
Add Reward Points,إضافة نقاط المكافآت,module,Magento_Reward,,,,
Check out now and earn %1 for this order.,أتمّ طلبك الآن واكسب %1 على هذا الطلب.,module,Magento_Reward,,,,
Create an account on our site now and earn %1.,انشئ حساب على موقعنا الآن احصل على %1.,module,Magento_Reward,,,,
Subscribe to our newsletter now and earn %1.,اشترك في نشرتنا البريدية الآن واكسب %1.,module,Magento_Reward,,,,
Send this invitation now and earn %1 when your invitee signs up on our site.,أرسل هذه الدعوة الآن واكسب %1 عندما يسجّل المدعو في موقعنا.,module,Magento_Reward,,,,
You can reward up to %1 invitee registration(s).,يمكنك مكافأة حتى %1 تسجيل(ات) للمدعوين.,module,Magento_Reward,,,,
Earn %1 for purchases your invitees make.,اكسب %1 على مشتريات مدعوييك.,module,Magento_Reward,,,,
You can reward up to %1 invitee purchase(s).,يمكنك مكافأة حتى %1 عملية(ات) شراء للمدعوين.,module,Magento_Reward,,,,
Submit a review now and earn %1 after the review is approved.,قدم مراجعة الآن واكسب %1 بعد الموافقة على المراجعة.,module,Magento_Reward,,,,
You can reward up to %1 new reviews(s).,يمكنك مكافأة حتى %1 مراجعة(ات) جديدة.,module,Magento_Reward,,,,
Return,إرجاع,module,Magento_Rma,,,,
Returns,المرتجعات,module,Magento_Rma,,,,
Create Returns,إنشاء مرتجع,module,Magento_Rma,,,,
Select Items,حدد العناصر,module,Magento_Rma,,,,
New Return Request,طلب مرتجع جديد,module,Magento_Rma,,,,
Create New RMA for %1 in %2,إنشاء طلب شراء جديد لـ %1 في %2,module,Magento_Rma,,,,
Create New RMA for %1,إنشاء مرتجع جديد لـ %1,module,Magento_Rma,,,,
Create New RMA,إنشاء جديد,module,Magento_Rma,,,,
Please Select Order,يرجى اختيار الطلب,module,Magento_Rma,,,,
Order,طلب,module,Magento_Rma,,,,
Purchase Point,تكلفة الشراء,module,Magento_Rma,,,,
Purchased,تم الشراء,module,Magento_Rma,,,,
Customer First Name,الاسم الأول للعميل,module,Magento_Rma,,,,
Customer Last Name,اسم عائلة العميل,module,Magento_Rma,,,,
Grand Total (Base),المجموع الكلي (قاعدة),module,Magento_Rma,,,,
Grand Total (Purchased),المجموع الكلي (مدفوع),module,Magento_Rma,,,,
Status,الحاله,module,Magento_Rma,,,,
Save and Continue Edit,حفظ ومواصلة التعديل,module,Magento_Rma,,,,
Close,إغلاق,module,Magento_Rma,,,,
Are you sure you want to close this returns request?,هل أنت متأكد من اغلاق طلب الارتجاع هذا؟,module,Magento_Rma,,,,
Print,طباعة,module,Magento_Rma,,,,
Return #%1 - %2,إرجاع #%1-%2,module,Magento_Rma,,,,
RMA Item Details,تفاصيل عنصر المرتجع,module,Magento_Rma,,,,
OK,موافق,module,Magento_Rma,,,,
Cancel,إلغاء,module,Magento_Rma,,,,
No,لا,module,Magento_Rma,,,,
Yes,نعم,module,Magento_Rma,,,,
Delete Image,حذف الصورة,module,Magento_Rma,,,,
View Full Size,عرض الحجم الكامل,module,Magento_Rma,,,,
